Date,Left_team,Right_team,Left_score,Right_score,Tournament,Left_overall,Right_overall,Left_attack,Right_attack,Left_midfield,Right_midfield,Left_deffense,Right_deffense,Left_bu_speed,Right_bu_speed,Left_bu_passing,Right_bu_passing,Left_bu_positioning,Right_bu_positioning,Left_cc_crossing,Right_cc_crossing,Left_cc_passing,Right_cc_passing,Left_cc_shooting,Right_cc_shooting,Left_cc_positioning,Right_cc_positioning,Left_aggression,Right_aggression,Left_pressure,Right_pressure,Left_avg_age,Right_avg_age,win
3/2/2010,Brazil,Ireland,2,0,Friendly,84,75,83,72,81,74,82,73,70,70,30,70,Free Form,Organised,60,70,70,70,70,70,Free Form,Organised,35,70,70,70,26,27,1
3/3/2010,Denmark,Austria,1,2,Friendly,75,73,72,71,72,67,74,70,50,70,50,70,Organised,Organised,50,65,50,65,50,65,Organised,Organised,50,70,50,55,27,24,0
3/3/2010,Croatia,Belgium,1,0,Friendly,78,76,77,73,74,75,73,74,70,65,50,70,Organised,Organised,30,55,70,65,55,60,Free Form,Organised,55,70,45,45,26,24,1
3/3/2010,Spain,France,2,0,Friendly,85,83,83,82,83,82,82,82,65,70,30,40,Free Form,Organised,45,50,70,70,65,30,Free Form,Organised,45,60,60,55,25,26,1
3/3/2010,Argentina,Germany,1,0,Friendly,83,82,83,81,81,79,78,79,70,70,30,62,Free Form,Organised,60,37,70,59,70,70,Free Form,Organised,30,46,30,58,26,25,1
3/3/2010,Russia,Hungary,1,1,Friendly,80,72,79,69,77,72,76,66,70,70,35,70,Free Form,Organised,65,60,70,50,70,70,Free Form,Organised,60,70,65,55,26,27,0
3/3/2010,Italy,Cameroon,0,0,Friendly,83,76,83,73,81,73,80,74,67,70,30,70,Organised,Organised,60,45,55,70,40,70,Organised,Organised,30,60,30,70,27,26,0
3/3/2010,Mexico,New Zealand,2,0,Friendly,77,62,73,60,74,57,74,58,65,70,45,70,Organised,Organised,55,70,65,70,65,70,Organised,Organised,60,70,65,70,26,26,1
3/3/2010,Netherlands,USA,2,1,Friendly,80,74,81,72,80,71,76,70,50,70,35,50,Organised,Free Form,70,45,70,30,66,40,Organised,Free Form,60,50,35,70,26,25,1
3/3/2010,Bulgaria,Poland,0,2,Friendly,73,72,70,69,70,68,68,67,70,70,65,65,Organised,Organised,65,65,70,60,65,65,Organised,Organised,70,70,60,60,28,27,0
3/3/2010,Portugal,China,2,0,Friendly,82,66,77,63,81,64,79,64,70,70,30,70,Free Form,Organised,70,40,70,45,70,70,Free Form,Organised,40,70,35,70,27,27,1
3/3/2010,Czech Republic,Scotland,0,1,Friendly,78,75,73,73,74,73,74,72,50,70,70,70,Organised,Organised,65,70,45,50,70,70,Organised,Organised,70,70,70,65,28,27,0
3/3/2010,Uruguay,Switzerland,3,1,Friendly,78,76,76,74,70,74,74,73,70,50,50,65,Free Form,Organised,70,65,60,67,70,70,Free Form,Organised,45,60,30,45,26,26,1
3/31/2010,Paraguay,South Africa,1,1,Friendly,75,72,75,70,70,71,73,67,65,70,40,70,Organised,Organised,40,60,65,65,70,70,Organised,Organised,45,70,35,70,28,27,0
5/7/2010,Mexico,Ecuador,0,0,Friendly,77,72,73,67,74,69,74,65,65,70,45,45,Organised,Organised,55,45,65,65,65,70,Organised,Organised,60,65,65,65,26,28,0
5/16/2010,Ecuador,Korea Republic,0,2,Friendly,72,70,67,67,69,69,65,65,70,70,45,60,Organised,Organised,45,65,65,65,70,70,Organised,Organised,65,60,65,65,28,26,0
5/19/2010,Croatia,Austria,1,0,Friendly,78,73,77,71,74,67,73,70,70,70,50,70,Organised,Organised,30,65,70,65,55,65,Free Form,Organised,55,70,45,55,26,24,1
5/19/2010,Belgium,Bulgaria,2,1,Friendly,76,73,73,70,75,70,74,68,65,70,70,65,Organised,Organised,55,65,65,70,60,65,Organised,Organised,70,70,45,60,24,28,1
5/22/2010,Turkey,Czech Republic,2,1,Friendly,78,78,77,73,77,74,74,74,70,50,65,70,Organised,Organised,70,65,70,45,70,70,Organised,Organised,70,70,55,70,25,28,1
5/24/2010,Australia,New Zealand,2,1,Friendly,75,62,71,60,71,57,68,58,70,70,70,70,Organised,Organised,60,70,70,70,70,70,Organised,Organised,70,70,50,70,28,26,1
5/24/2010,England,Mexico,3,1,Friendly,83,77,81,73,84,74,82,74,70,65,70,45,Organised,Organised,70,55,55,65,70,65,Organised,Organised,70,60,65,65,27,26,1
5/24/2010,Bulgaria,South Africa,1,1,Friendly,73,72,70,70,70,71,68,67,70,70,65,70,Organised,Organised,65,60,70,65,65,70,Organised,Organised,70,70,60,70,28,27,0
5/25/2010,Ireland,Paraguay,2,1,Friendly,75,75,72,75,74,70,73,73,70,65,70,40,Organised,Organised,70,40,70,65,70,70,Organised,Organised,70,45,70,35,27,28,1
5/25/2010,Czech Republic,USA,4,2,Friendly,78,74,73,72,74,71,74,70,50,70,70,50,Organised,Free Form,65,45,45,30,70,40,Organised,Free Form,70,50,70,70,28,25,1
5/26/2010,Netherlands,Mexico,2,1,Friendly,80,77,81,73,80,74,76,74,50,65,35,45,Organised,Organised,70,55,70,65,66,65,Organised,Organised,60,60,35,65,26,26,1
5/26/2010,Turkey,Northern Ireland,2,0,Friendly,78,71,77,66,77,66,74,70,70,70,65,70,Organised,Organised,70,65,70,70,70,70,Organised,Organised,70,70,55,70,25,25,1
5/29/2010,Germany,Hungary,3,0,Friendly,82,72,81,69,79,72,79,66,70,70,62,70,Organised,Organised,37,60,59,50,70,70,Organised,Organised,46,70,58,55,25,27,1
5/29/2010,Poland,Finland,0,0,Friendly,72,72,69,67,68,69,67,70,70,70,65,55,Organised,Organised,65,55,60,50,65,60,Organised,Organised,70,70,60,45,27,28,0
5/29/2010,Ukraine,Romania,3,2,Friendly,76,75,73,71,72,70,70,74,55,70,70,65,Organised,Organised,70,70,65,65,70,70,Organised,Organised,70,50,55,30,26,27,1
5/29/2010,Turkey,USA,1,2,Friendly,78,74,77,72,77,71,74,70,70,70,65,50,Organised,Free Form,70,45,70,30,70,40,Organised,Free Form,70,50,55,70,25,25,0
6/1/2010,Australia,Denmark,1,0,Friendly,75,75,71,72,71,72,68,74,70,50,70,50,Organised,Organised,60,50,70,50,70,50,Organised,Organised,70,50,50,50,28,27,1
6/1/2010,Portugal,Cameroon,3,1,Friendly,82,76,77,73,81,73,79,74,70,70,30,70,Free Form,Organised,70,45,70,70,70,70,Free Form,Organised,40,60,35,70,27,26,1
6/2/2010,Greece,Paraguay,0,2,Friendly,76,75,76,75,75,70,74,73,45,65,60,40,Organised,Organised,70,40,30,65,30,70,Organised,Organised,30,45,30,35,27,28,0
6/2/2010,Ukraine,Norway,1,0,Friendly,76,75,73,75,72,73,70,72,55,70,70,70,Organised,Organised,70,70,65,50,70,70,Organised,Organised,70,70,55,70,26,27,1
6/3/2010,Italy,Mexico,1,2,Friendly,83,77,83,73,81,74,80,74,67,65,30,45,Organised,Organised,60,55,55,65,40,65,Organised,Organised,30,60,30,65,27,26,0
6/3/2010,Spain,Korea Republic,1,0,Friendly,85,70,83,67,83,69,82,65,65,70,30,60,Free Form,Organised,45,65,70,65,65,70,Free Form,Organised,45,60,60,65,25,26,1
6/4/2010,France,China,0,1,Friendly,83,66,82,63,82,64,82,64,70,70,40,70,Organised,Organised,50,40,70,45,30,70,Organised,Organised,60,70,55,70,26,27,0
6/4/2010,Slovenia,New Zealand,3,1,Friendly,70,62,70,60,67,57,67,58,70,70,70,70,Organised,Organised,65,70,55,70,70,70,Organised,Organised,70,70,50,70,26,26,1
6/5/2010,Australia,USA,1,3,Friendly,75,74,71,72,71,71,68,70,70,70,70,50,Organised,Free Form,60,45,70,30,70,40,Organised,Free Form,70,50,50,70,28,25,0
6/5/2010,Netherlands,Hungary,6,1,Friendly,80,72,81,69,80,72,76,66,50,70,35,70,Organised,Organised,70,60,70,50,66,70,Organised,Organised,60,70,35,55,26,27,1
6/5/2010,Denmark,South Africa,0,1,Friendly,75,72,72,70,72,71,74,67,50,70,50,70,Organised,Organised,50,60,50,65,50,70,Organised,Organised,50,70,50,70,27,27,0
